HF_name,subset,task_by_convention,format,comment,seed_paper,do_train,do_eval,train_size,adjusted_train_size,metric,multiple correct answer,Paper link,non_linguistic_knowledge,Imported Task Name,imported category,input_length,_human_skill,Domain,Reference,done
crows_pairs,,bias_and_fairness,,test set only; authors themselves acknowledge some problems,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
jigsaw_toxicity_pred,,bias_and_fairness,,current https://www.kaggle.com/c/jigsaw-toxic-comment-classification-challenge/data ; want https://www.kaggle.com/c/jigsaw-unintended-bias-in-toxicity-classification,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
super_glue,axg,bias_and_fairness,cls,test set only,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
winogender,,bias_and_fairness,cls,also as axg in super_glue,Eval WG,,TRUE,,,,,,,,,,,,,
wino_bias,type1_anti,bias_and_fairness,cls,,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
wino_bias,type2_anti,bias_and_fairness,cls,,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
wino_bias,type1_pro,bias_and_fairness,cls,,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
wino_bias,type2_pro,bias_and_fairness,cls,,Eval WG,,TRUE,,,,,,,,,,,,,TRUE
super_glue,wsc.fixed,coreference,cls,,,SGLUE,TRUE,554,0,accuracy,,https://arxiv.org/pdf/1905.00537.pdf,,superglue-wsc,cls/other,single sentence,knowledge-? reading comprehension,,Levesque et al. 2012,TRUE
winograd_wsc,wsc273,coreference,ext,,GPT,,TRUE,0,0,accuracy,,https://www.aaai.org/ocs/index.php/KR/KR12/paper/download/4492/4924,,,,,,,Levesque et al. 2012,
winogrande,winogrande_xl,coreference,ext,,GPT,,TRUE,40398,0,accuracy,,https://arxiv.org/pdf/1907.10641.pdf,,WinoGrande,qa/multiple-choice qa,,knowledge-? reading comprehension,,Sakaguchi et al. 2020,TRUE
glue,cola,grammatical_acceptability,cls,includes semantic acceptability too; to be replaced by blimp,,,TRUE,8551,0,accuracy;matthews_corrcoef,,https://arxiv.org/pdf/1805.12471.pdf,,glue-cola,cls/other,single sentence,,,Warstadt et al. 2019,
super_glue,cb,NLI,cls,"""for multi-class F1 we compute the unweighted average of the F1 per class.""",,,TRUE,250,0,mean_multiclass_f1;accuracy,,https://semanticsarchive.net/Archive/Tg3ZGI2M/Marneffe.pdf,,superglue-cb,cls/nli,sentence pair,knowledge-neutral inference,,de Marneffe et al. 2019,TRUE
super_glue,rte,NLI,cls,,,,TRUE,2490,0,accuracy,,https://arxiv.org/pdf/1905.00537.pdf,,superglue-rte,cls/nli,sentence pair,knowledge modest inference,,Dagan et al. 2005; Bar-Haim et al. 2006 Giampiccolo et al. 2007; Bentivogli et al. 2009,TRUE
anli,,NLI,cls,"In addition to accuracy, paper also evaluates on range of relaxed/strict and matched/unmatched settings and reports F scores for different answers",,,TRUE,162865,0,accuracy,,https://arxiv.org/abs/1910.14599,,anli,cls/nli,sentence pair,knowledge modest inference,,Nie et al. 2020,TRUE
hans,,NLI,cls,,,,TRUE,0,0,accuracy,,https://arxiv.org/pdf/1902.01007.pdf,,,,sentence pair,syntax?,,McCoy et al. 2019,
super_glue,axb,NLI,cls,test set only,,,TRUE,0,0,,,,,,,,,,,
glue,mrpc,paraphrase,cls,,,BASE,,3668,3668,accuracy;f1_score,,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/I05-50025B15D.pdf,,glue-mrpc,cls/paraphrase,,paraphrase,,Dolan and Brockett 2005,TRUE
glue,qqp,paraphrase,cls,,,BASE,,363846,363846,accuracy;f1_score,,https://aclanthology.org/I05-5002.pdf,,glue-qqp,cls/paraphrase,,,,(link),TRUE
